iter	RMSE
0	549225.3321
1	523682.1592
2	498940.3333
3	476118.242
4	454403.5098
5	434984.8946
6	415729.4815
7	398508.3324
8	381700.1346
9	365487.076
10	350138.8304
11	335359.2291
12	319792.7081
13	307519.4156
14	294542.2929
15	283012.818
16	272133.7115
17	260157.2994
18	250583.1415
19	240280.6012
20	230381.4036
21	222128.7731
22	215061.5646
23	206758.1836
24	199111.5783
25	192866.0165
26	185804.9338
27	179931.9658
28	174563.389
29	169557.8672
30	164679.2897
31	160459.3033
32	155535.7421
33	151160.5098
34	147218.7797
35	143474.2562
36	139986.2176
37	136837.7558
38	134134.6119
39	131364.7195
40	128544.463
41	126167.0923
42	123797.9048
43	121451.8949
44	119444.0618
45	117309.1028
46	115332.302
47	113562.2113
48	112030.3916
49	110428.8413
50	108752.6546
51	107519.2318
52	106296.9983
53	105092.0534
54	103712.7704
55	102485.851
56	101191.7383
57	100081.1787
58	99133.08981
59	98272.38562
60	97293.3366
61	96468.43449
62	95751.5219
63	94651.31915
64	93758.46075
65	92997.24422
66	92292.7058
67	91378.86373
68	90551.64022
69	89904.19096
70	89365.69029
71	88842.91191
72	88221.50406
73	87779.7324
74	87065.11313
75	86447.76604
76	85836.02828
77	85282.59883
78	84934.21778
79	84332.96778
80	83649.10788
81	83252.30641
82	82781.4437
83	82245.88219
84	81825.58713
85	81341.02423
86	80833.28829
87	80412.1583
88	80186.65013
89	79964.39986
90	79684.39788
91	79397.74519
92	78820.07191
93	78308.67339
94	78061.84825
95	77620.04718
96	77269.00429
97	76999.41474
98	76633.53444
99	76416.87661
100	76184.96011
101	75853.08783
102	75699.91441
103	75364.4699
104	75200.24994
105	74996.7957
106	74319.71959
107	73871.19361
108	73673.91161
109	73416.73056
110	73077.72323
111	72959.041
112	72826.80209
113	72674.17942
114	72482.90837
115	72099.80274
116	71750.62604
117	71539.98824
118	71183.70877
119	70720.38845
120	70494.89526
121	70391.98618
122	70135.00596
123	69886.98111
124	69386.01416
125	69116.84061
126	68849.96433
127	68647.21794
128	68317.43606
129	68155.27026
130	67850.18048
131	67594.65653
132	67428.73988
133	67188.96714
134	66914.28069
135	66660.44572
136	66501.56854
137	66350.62725
138	66059.7347
139	65907.40146
140	65720.11687
141	65639.27158
142	65340.25569
143	65147.74055
144	64901.26733
145	64553.235
146	64413.40963
147	63945.28718
148	63778.68815
149	63561.92769
150	63436.91707
151	62928.08592
152	62732.4956
153	62451.45096
154	62219.76485
155	61803.95406
156	61688.96627
157	61482.16699
158	61398.14021
159	61208.61285
160	61033.20671
161	60891.4295
162	60720.25235
163	60667.41835
164	60399.6764
165	60308.34846
166	60158.05017
167	59809.71081
168	59576.72627
169	59437.86906
170	59341.46719
171	59095.92772
172	58863.35206
173	58821.94611
174	58715.09569
175	58535.52024
176	58432.138
177	58244.56038
178	57988.94446
179	57822.69765
180	57707.27406
181	57565.73338
182	57346.63738
183	57151.83795
184	56941.07383
185	56805.09641
186	56703.42401
187	56454.4455
188	56110.91834
189	55874.84943
190	55614.93079
191	55506.41245
192	55457.02829
193	55286.65459
194	55201.37852
195	55106.23909
196	55009.18561
197	54919.2074
198	54836.7474
199	54710.50044
200	54548.44423
201	54440.29294
202	54202.23995
203	54056.91364
204	53902.75748
205	53791.7835
206	53692.85975
207	53605.44613
208	53441.18501
209	53264.91555
210	53180.31952
211	53035.22449
212	52961.59866
213	52712.53071
214	52639.31794
215	52472.98463
216	52338.98558
217	52121.35419
218	52076.71558
219	51944.54794
220	51853.04161
221	51678.23901
222	51525.66236
223	51412.65522
224	51169.90845
225	51022.06941
226	50852.20016
227	50739.42165
228	50666.90272
229	50637.05843
230	50424.06435
231	50333.17655
232	50075.28573
233	49948.16517
234	49859.58539
235	49748.30001
236	49698.65567
237	49618.24112
238	49547.90488
239	49424.38112
240	49253.21936
241	49205.58866
242	49087.86688
243	49027.7333
244	48832.99362
245	48676.00433
246	48622.12867
247	48488.04311
248	48410.71259
249	48314.6878
250	48087.52093
251	47958.03658
252	47894.17579
253	47729.78368
254	47535.74854
255	47392.33098
256	47311.19976
257	47222.36672
258	47156.22208
259	47089.24266
260	46991.34348
261	46881.2846
262	46708.2037
263	46588.67388
264	46525.28169
265	46377.90274
266	46291.39743
267	46264.67199
268	46146.36091
269	46100.96768
270	46045.35117
271	45868.28052
272	45717.65506
273	45609.28722
274	45496.92251
275	45440.51092
276	45361.71102
277	45254.51548
278	45199.18472
279	45076.42396
280	45018.19788
281	44976.65472
282	44926.001
283	44807.62339
284	44733.24315
285	44649.44734
286	44566.67582
287	44446.24377
288	44410.16108
289	44336.5579
290	44273.30619
291	44165.50039
292	44072.31291
293	44018.6885
294	43959.86964
295	43903.40961
296	43881.9691
297	43744.62144
298	43682.12044
299	43615.39202
300	43514.43633
301	43380.82014
302	43345.79352
303	43258.24854
304	43225.75985
305	43141.23266
306	43063.27306
307	42939.75356
308	42877.80442
309	42822.10576
310	42706.18671
311	42655.44401
312	42571.79216
313	42448.27126
314	42340.87508
315	42271.35817
316	42168.66808
317	42103.98111
318	42050.69209
319	41983.1939
320	41916.84589
321	41813.72504
322	41756.91372
323	41657.08679
324	41622.10992
325	41535.93423
326	41455.22964
327	41374.61793
328	41251.23395
329	41205.58369
330	41067.84365
331	40980.6186
332	40915.67013
333	40840.05811
334	40749.18843
335	40721.285
336	40614.63615
337	40568.62929
338	40509.22579
339	40481.37732
340	40431.34389
341	40374.10165
342	40347.4499
343	40265.20704
344	40203.66509
345	40147.60956
346	40074.65733
347	40033.21489
348	39978.9389
349	39917.01625
350	39895.3722
351	39788.42492
352	39743.84167
353	39723.59826
354	39650.98181
355	39589.26958
356	39547.6135
357	39498.68834
358	39387.94321
359	39369.07945
360	39283.82072
361	39239.86851
362	39176.10926
363	39063.65819
364	39007.37455
365	38980.72101
366	38869.53216
367	38818.02667
368	38738.33669
369	38694.80084
370	38647.45224
371	38572.79067
372	38551.21591
373	38500.24003
374	38422.75371
375	38331.09205
376	38299.71169
377	38250.27397
378	38220.79701
379	38138.90775
380	38073.8061
381	38029.31097
382	37948.24196
383	37930.81842
384	37914.59426
385	37866.02394
386	37750.38185
387	37677.11186
388	37601.10602
389	37538.08028
390	37482.64597
391	37366.63599
392	37269.40828
393	37219.69925
394	37157.9487
395	37142.20149
396	37093.57611
397	37025.98139
398	36991.50542
399	36926.1321
400	36837.73949
401	36766.79999
402	36707.81101
403	36608.78175
404	36540.46959
405	36458.34617
406	36394.49772
407	36368.19576
408	36290.87139
409	36232.91538
410	36172.29543
411	36138.80503
412	36097.29708
413	36050.90993
414	36035.94613
415	35989.68436
416	35917.12344
417	35875.17086
418	35826.4986
419	35764.39432
420	35696.56036
421	35647.44172
422	35615.0158
423	35535.70636
424	35474.7113
425	35353.62995
426	35313.82609
427	35267.71417
428	35199.96102
429	35111.60064
430	35056.20016
431	34997.03439
432	34973.67631
433	34919.25097
434	34861.0979
435	34787.46954
436	34764.03725
437	34743.09361
438	34695.81745
439	34677.53837
440	34637.31993
441	34574.99604
442	34571.06981
443	34550.27297
444	34521.23166
445	34460.78116
446	34401.01394
447	34377.49238
448	34303.46595
449	34290.20957
450	34214.63009
451	34147.19887
452	34108.46783
453	34087.12496
454	34039.3171
455	34004.6096
456	33983.63244
457	33954.39699
458	33934.81792
459	33871.67682
460	33848.23594
461	33777.13723
462	33744.15515
463	33702.05806
464	33641.01022
465	33538.25379
466	33475.93419
467	33459.72428
468	33420.86798
469	33353.7768
470	33302.06319
471	33248.60624
472	33172.47131
473	33149.44304
474	33088.98459
475	33038.23216
476	33008.78623
477	32954.64905
478	32890.21778
479	32870.81705
480	32836.06806
481	32806.26611
482	32745.41715
483	32703.09301
484	32675.57094
485	32642.95298
486	32622.51044
487	32606.89423
488	32563.82055
489	32487.36821
490	32423.16142
491	32372.92945
492	32310.01667
493	32250.67143
494	32213.63562
495	32153.99131
496	32099.87571
497	32078.52206
498	32059.2134
499	32045.21524
500	32004.96871
501	31957.63292
502	31904.53371
503	31876.12123
504	31820.08972
505	31792.55511
506	31767.22261
507	31707.9628
508	31680.65457
509	31656.59533
510	31627.33654
511	31518.35813
512	31494.2594
513	31475.27334
514	31448.49247
515	31419.81307
516	31387.17687
517	31318.56383
518	31246.34956
519	31206.84161
520	31150.85992
521	31086.61947
522	31008.12685
523	30965.42761
524	30948.54631
525	30927.25586
526	30908.70082
527	30864.30183
528	30840.55651
529	30824.89318
530	30754.34046
531	30739.69597
532	30702.05256
533	30650.19896
534	30611.43759
535	30585.22592
536	30546.58204
537	30510.88203
538	30481.32099
539	30434.55013
540	30414.35069
541	30365.13081
542	30320.61378
543	30294.26564
544	30256.37505
545	30166.76798
546	30113.5674
547	30089.03914
548	30020.59035
549	29989.96373
550	29978.4034
551	29956.13147
552	29933.25339
553	29909.43999
554	29879.5419
555	29871.75984
556	29839.24577
557	29812.03227
558	29773.42475
559	29717.99859
560	29668.05052
561	29640.69547
562	29623.8083
563	29574.84459
564	29559.07188
565	29499.02865
566	29438.56879
567	29396.43738
568	29378.38823
569	29354.26648
570	29300.2112
571	29279.12329
572	29241.92762
573	29219.82231
574	29175.36498
575	29154.06573
576	29106.57052
577	29054.91171
578	29009.65805
579	28943.71928
580	28920.53414
581	28894.88629
582	28828.10962
583	28768.10127
584	28725.96129
585	28702.97038
586	28686.44337
587	28627.1517
588	28602.51422
589	28551.05582
590	28489.73293
591	28428.77243
592	28383.50629
593	28350.2081
594	28332.53875
595	28304.34224
596	28274.80473
597	28230.95804
598	28177.46746
599	28143.83441
600	28120.96984
601	28020.27169
602	27989.46687
603	27960.41703
604	27948.86888
605	27901.58019
606	27864.25466
607	27812.07056
608	27779.0166
609	27768.47327
610	27755.80298
611	27721.08545
612	27699.48134
613	27678.71315
614	27647.82496
615	27591.71728
616	27566.68177
617	27529.23546
618	27468.97175
619	27437.64521
620	27396.57574
621	27377.22453
622	27347.09203
623	27294.59265
624	27252.67892
625	27208.83493
626	27192.29897
627	27159.65833
628	27139.34687
629	27123.44616
630	27097.16032
631	27071.63397
632	27029.58504
633	26968.15004
634	26961.68365
635	26916.58856
636	26880.25605
637	26857.53772
638	26840.54442
639	26828.97621
640	26782.51912
641	26738.65088
642	26699.19211
643	26678.57123
644	26651.71622
645	26629.55041
646	26585.62962
647	26542.8236
648	26494.57232
649	26445.74438
650	26410.43669
651	26386.24527
652	26346.02407
653	26330.05777
654	26298.11861
655	26274.3289
656	26257.98179
657	26202.44227
658	26172.04566
659	26142.41511
660	26126.7294
661	26111.77596
662	26069.59157
663	26057.01423
664	26031.30125
665	25988.16121
666	25964.60325
667	25934.35308
668	25920.36255
669	25897.04505
670	25864.87067
671	25833.09682
672	25810.5096
673	25772.343
674	25733.50435
675	25714.20001
676	25682.8524
677	25664.50742
678	25654.1953
679	25634.89972
680	25576.71003
681	25549.60974
682	25505.14743
683	25467.41568
684	25430.91972
685	25413.98414
686	25377.58557
687	25343.15439
688	25300.43263
689	25262.23886
690	25233.61196
691	25212.25127
692	25188.90583
693	25166.99403
694	25149.25217
695	25125.91034
696	25112.42398
697	25100.84679
698	25037.25622
699	25024.23349
700	24989.62346
701	24965.50744
702	24932.07021
703	24905.01354
704	24877.22698
705	24834.24332
706	24800.36065
707	24784.44389
708	24754.33954
709	24723.96833
710	24700.67839
711	24668.22651
712	24653.62952
713	24622.02736
714	24595.47594
715	24557.91995
716	24531.90914
717	24503.05372
718	24481.57847
719	24469.46931
720	24457.16015
721	24443.41939
722	24393.36664
723	24370.04728
724	24352.41887
725	24333.31384
726	24310.8109
727	24279.58278
728	24251.5977
729	24220.48948
730	24182.92228
731	24163.20554
732	24143.17776
733	24115.831
734	24098.34398
735	24087.28917
736	24010.9276
737	23995.88372
738	23948.77755
739	23921.94553
740	23892.73162
741	23878.19882
742	23854.31357
743	23829.68868
744	23794.44088
745	23773.3434
746	23731.4517
747	23699.21873
748	23672.96099
749	23652.83512
750	23633.44576
751	23609.43358
752	23597.53416
753	23584.91705
754	23540.73985
755	23489.43259
756	23465.35687
757	23448.7152
758	23423.87716
759	23384.86268
760	23358.05479
761	23354.73373
762	23338.42145
763	23327.41469
764	23303.2198
765	23277.70914
766	23246.71614
767	23232.63205
768	23207.80341
769	23195.16445
770	23179.14868
771	23133.26367
772	23097.40238
773	23055.38981
774	23032.69976
775	23004.19678
776	22981.00071
777	22965.95025
778	22940.39001
779	22922.74631
780	22875.60995
781	22865.1663
782	22844.58234
783	22823.37826
784	22781.19513
785	22753.9455
786	22731.64125
787	22690.93891
788	22658.0912
789	22634.16605
790	22597.42726
791	22577.91641
792	22564.34569
793	22525.61831
794	22496.89791
795	22484.68834
796	22458.0106
797	22420.29922
798	22406.43685
799	22378.43967
800	22343.01855
801	22326.13036
802	22307.72429
803	22283.86491
804	22262.25885
805	22244.37725
806	22228.29498
807	22215.01686
808	22187.37505
809	22158.87806
810	22121.82552
811	22098.3655
812	22066.69256
813	22054.8996
814	22031.72457
815	22000.08378
816	21980.11846
817	21955.45346
818	21944.40758
819	21924.54506
820	21887.06715
821	21851.63781
822	21839.74136
823	21823.96216
824	21817.34967
825	21809.41362
826	21788.71943
827	21775.18796
828	21759.49372
829	21712.0727
830	21688.66533
831	21664.59316
832	21650.13588
833	21639.97176
834	21627.17012
835	21613.36343
836	21596.75011
837	21578.53103
838	21543.2407
839	21509.2665
840	21476.4991
841	21437.34549
842	21424.26
843	21400.81092
844	21369.66146
845	21359.68381
846	21339.56406
847	21328.18095
848	21297.89991
849	21278.37502
850	21249.48621
851	21238.88038
852	21222.38934
853	21192.64782
854	21169.94985
855	21148.49928
856	21118.99948
857	21108.59465
858	21096.26886
859	21070.49643
860	21053.82154
861	21029.56866
862	20998.72505
863	20979.80794
864	20957.24295
865	20934.1781
866	20918.44669
867	20885.73359
868	20855.84975
869	20832.88692
870	20789.50396
871	20773.70814
872	20756.14048
873	20741.50626
874	20724.54912
875	20694.14441
876	20678.58509
877	20657.51115
878	20623.60508
879	20596.83558
880	20576.30919
881	20546.91544
882	20533.16128
883	20509.57617
884	20497.13011
885	20477.56001
886	20458.82901
887	20445.06988
888	20431.52906
889	20426.68981
890	20403.41904
891	20388.73012
892	20370.11829
893	20356.10398
894	20347.86655
895	20337.00825
896	20322.12835
897	20292.2146
898	20275.15447
899	20247.99255
900	20204.87876
901	20194.8492
902	20182.34004
903	20143.13591
904	20124.27475
905	20110.87249
906	20102.30738
907	20072.20736
908	20067.86691
909	20055.3186
910	20039.53186
911	20022.13387
912	19993.49686
913	19962.57833
914	19955.5928
915	19942.29395
916	19911.22287
917	19871.30414
918	19854.07806
919	19825.40028
920	19802.48976
921	19784.76883
922	19761.16245
923	19753.11529
924	19740.7976
925	19727.64082
926	19699.55965
927	19686.6897
928	19671.09491
929	19637.32946
930	19598.92246
931	19592.3506
932	19551.82961
933	19509.96627
934	19505.00312
935	19504.65559
936	19484.64304
937	19473.87123
938	19464.08983
