iter	Passed	Remaining
0	4	4557
1	8	4447
2	14	4748
3	18	4591
4	22	4506
5	25	4157
6	30	4370
7	35	4364
8	39	4335
9	44	4421
10	48	4404
11	53	4397
12	57	4350
13	63	4446
14	67	4456
15	71	4402
16	76	4429
17	80	4403
18	86	4444
19	90	4442
20	95	4453
21	100	4455
22	104	4459
23	110	4482
24	116	4527
25	120	4523
26	126	4553
27	130	4546
28	135	4529
29	140	4542
30	145	4539
31	149	4514
32	153	4489
33	158	4514
34	162	4491
35	166	4469
36	172	4482
37	176	4473
38	181	4462
39	185	4444
40	191	4486
41	196	4472
42	200	4452
43	206	4478
44	210	4469
45	214	4450
46	219	4450
47	223	4438
48	228	4429
49	232	4409
50	238	4433
51	242	4429
52	247	4418
53	252	4426
54	257	4416
55	261	4401
56	265	4390
57	270	4394
58	275	4386
59	279	4373
60	285	4394
61	289	4386
62	294	4374
63	301	4403
64	306	4408
65	313	4431
66	318	4431
67	322	4420
68	326	4409
69	332	4416
70	337	4411
71	341	4402
72	347	4410
73	351	4400
74	355	4386
75	359	4371
76	365	4382
77	369	4370
78	373	4357
79	379	4359
80	383	4347
81	387	4342
82	392	4332
83	398	4350
84	403	4342
85	407	4327
86	412	4333
87	417	4325
88	421	4310
89	426	4314
90	431	4306
91	435	4298
92	440	4298
93	445	4291
94	449	4283
95	453	4268
96	459	4273
97	463	4264
98	467	4252
99	471	4240
100	476	4244
101	481	4238
102	485	4226
103	491	4231
104	495	4223
105	500	4219
106	505	4217
107	510	4219
108	514	4209
109	519	4204
110	524	4201
111	528	4193
112	532	4181
113	538	4187
114	542	4177
115	547	4172
116	551	4164
117	557	4164
118	561	4156
119	565	4144
120	571	4149
121	575	4138
122	579	4129
123	584	4127
124	588	4117
125	592	4109
126	596	4098
127	601	4100
128	606	4091
129	609	4081
130	613	4071
131	618	4069
132	622	4060
133	626	4049
134	631	4048
135	636	4041
136	640	4035
137	644	4026
138	649	4025
139	654	4018
140	658	4010
141	664	4014
142	668	4008
143	672	3998
144	678	4003
145	683	4000
146	688	3995
147	692	3987
148	697	3985
149	702	3978
150	706	3971
151	711	3970
152	715	3963
153	719	3955
154	724	3948
155	729	3947
156	733	3939
157	737	3932
158	743	3930
159	747	3924
160	751	3918
161	755	3908
162	761	3911
163	765	3902
164	769	3894
165	775	3894
166	779	3886
167	783	3880
168	787	3871
169	793	3871
170	797	3867
171	802	3861
